Order_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Sales_Amount,Order_Date
O00090,C0673,P0143,2,4673,9346,25-12-2024
O00091,C1044,P0205,9,5525,49725,29-01-2024
O00092,C0237,P0134,3,9612,28836,28-09-2024
O00093,C0079,P0056,10,7219,72190,19-12-2024
O00096,C0894,P0001,9,8921,80289,04-12-2025
O00098,C0677,P0161,2,5020,10040,03-06-2025
O00099,C0634,P0210,6,6692,40152,14-12-2025
O00103,C0431,P0221,10,5379,53790,21-04-2025
O00104,C0905,P0227,4,8475,33900,29-04-2025
O00105,C0348,P0044,5,8545,42725,10-11-2025
O00108,C0095,P0126,8,1293,10344,11-04-2025
O00110,C0819,P0125,3,190,570,07-02-2026
O00111,C0219,P0218,4,2981,11924,03-04-2026
O00112,C1061,P0238,1,9232,9232,12-09-2024
O00113,C0249,P0234,3,7712,23136,14-11-2025
O00115,C0907,P0259,7,9076,63532,01-04-2025
O00116,C0326,P0244,8,4346,34768,08-02-2026
O00117,C0507,P0142,9,8039,72351,03-10-2025
O00118,C0490,P0141,8,1369,10952,31-12-2025
O00119,C0586,P0121,5,5602,28010,23-11-2024
O00120,C1107,P0042,3,2571,7713,24-08-2024
O00121,C0785,P0079,4,1152,4608,28-02-2025
O00122,C0835,P0170,9,7733,69597,01-03-2025
O00123,C0128,P0106,7,6481,45367,27-02-2026
O00124,C1197,P0011,10,6332,63320,03-05-2025
O00125,C0013,P0181,5,6489,32445,23-05-2026
O00126,C0859,P0276,9,9983,89847,13-08-2024
O00127,C1000,P0113,5,7240,36200,12-05-2025
O00131,C0878,P0070,8,3077,24616,21-02-2024
O00132,C0533,P0195,6,3567,21402,10-04-2025
O00133,C0670,P0173,7,4658,32606,09-02-2026
O00134,C0864,P0130,2,7805,15610,20-01-2024
O00135,C1105,P0027,6,3773,22638,27-10-2025
O00137,C0042,P0079,4,2168,8672,29-04-2025
O00139,C0525,P0189,3,1976,5928,07-03-2026
O00140,C0336,P0160,2,9581,19162,27-01-2024
O00143,C0618,P0062,10,772,7720,21-12-2024
O00144,C1092,P0220,6,1229,7374,02-06-2025
O00145,C0699,P0007,7,8131,56917,18-04-2024
O00146,C0888,P0186,8,2606,20848,21-03-2025
O00147,C0361,P0268,5,8917,44585,04-03-2026
O00148,C0991,P0239,7,9807,68649,01-10-2024
O00149,C0661,P0126,2,4669,9338,06-04-2025
O00150,C0500,P0238,10,6309,63090,10-12-2024
O00151,C0059,P0254,6,3079,18474,14-05-2025
O00152,C0435,P0182,5,5676,28380,13-10-2024
O00153,C1221,P0142,9,266,2394,13-06-2025
O00154,C0392,P0044,4,6758,27032,15-05-2025
O00155,C1138,P0124,8,8141,65128,03-04-2025
O00156,C0036,P0048,5,3730,18650,18-02-2025
O00157,C0499,P0157,10,6146,61460,29-04-2025
O00159,C1128,P0170,6,7534,45204,04-10-2024
O00161,C0395,P0162,2,8879,17758,19-02-2026
O00162,C0380,P0099,4,8033,32132,10-10-2024
O00163,C1208,P0269,10,4736,47360,12-04-2024
O00166,C0094,P0028,9,4886,43974,15-12-2025
O00167,C0259,P0252,2,300,600,10-08-2025
O00168,C0583,P0241,8,7316,58528,14-12-2024
O00169,C0378,P0027,5,7927,39635,26-04-2024
O00170,C0134,P0206,8,1313,10504,13-08-2025
O00172,C1153,P0156,2,4166,8332,01-05-2024
O00173,C1143,P0214,10,9866,98660,20-03-2026
O00175,C0907,P0153,10,7125,71250,08-11-2024
O00176,C1165,P0031,10,1725,17250,20-02-2026
O00177,C0426,P0109,5,1430,7150,09-06-2024
O00178,C0492,P0089,9,1329,11961,09-06-2024
O00179,C0006,P0210,8,9829,78632,26-04-2025
O00180,C0597,P0017,4,4820,19280,24-12-2025
O00183,C0461,P0077,5,2430,12150,14-03-2024
O00185,C1166,P0148,8,2137,17096,24-04-2025
O00186,C0623,P0207,5,8299,41495,06-07-2025
O00187,C1012,P0225,2,9898,19796,10-02-2024
O00188,C0885,P0166,10,4202,42020,27-01-2024
O00189,C0188,P0118,10,9719,97190,22-01-2024
O00192,C0893,P0252,2,7800,15600,22-12-2024
O00193,C0837,P0171,6,1813,10878,28-05-2026
O00194,C0330,P0169,7,8217,57519,22-10-2024
O00196,C0645,P0130,6,1999,11994,02-03-2026
O00197,C0828,P0264,1,8989,8989,18-04-2025
O00198,C0847,P0028,4,8594,34376,05-01-2025
O00201,C0993,P0063,1,4020,4020,27-12-2025
O00202,C0325,P0160,9,324,2916,19-07-2025
O00203,C0836,P0048,4,1958,7832,17-04-2025
O00204,C0241,P0079,8,4881,39048,05-06-2025
O00207,C1228,P0261,3,1243,3729,09-10-2024
O00208,C0850,P0175,9,4477,40293,20-04-2026
O00209,C0006,P0145,5,9716,48580,16-08-2025
O00210,C1003,P0077,8,8924,71392,10-05-2025
O00211,C0707,P0171,9,9003,81027,21-01-2025
O00212,C0933,P0165,4,4012,16048,08-08-2025
O00213,C0785,P0120,7,815,5705,21-11-2024
O00214,C0969,P0196,7,2592,18144,22-05-2025
O00215,C0076,P0065,9,9769,87921,05-12-2024
O00217,C0032,P0074,7,2629,18403,17-03-2024
O00219,C0165,P0169,9,6326,56934,20-11-2024
O00221,C0141,P0121,5,3827,19135,03-02-2026
O00222,C0186,P0223,2,1746,3492,30-03-2025
O00223,C0341,P0154,1,853,853,28-11-2024
O00224,C0115,P0151,6,6241,37446,17-03-2025
O00225,C0299,P0126,9,6851,61659,02-08-2025
O00226,C0369,P0088,3,1393,4179,16-09-2025
O00227,C0784,P0124,8,9654,77232,26-05-2024
O00228,C0476,P0237,5,7629,38145,18-09-2024
O00229,C0020,P0239,5,9055,45275,10-06-2024
O00230,C0152,P0227,6,9726,58356,02-11-2024
O00232,C0788,P0248,2,3986,7972,25-01-2025
O00233,C1172,P0184,10,4947,49470,17-12-2025
O00234,C0605,P0012,7,4597,32179,09-01-2024
O00235,C1160,P0026,10,8238,82380,02-05-2026
O00236,C0587,P0118,10,5872,58720,12-08-2024
O00246,C0932,P0189,5,9677,48385,25-01-2025
O00247,C0761,P0056,4,7824,31296,26-01-2024
O00249,C0130,P0238,5,6789,33945,29-04-2024
O00250,C0287,P0024,1,5086,5086,19-05-2025
O00253,C1203,P0080,7,1722,12054,03-05-2026
O00254,C1003,P0209,5,636,3180,07-12-2025
O00255,C0759,P0112,8,7385,59080,29-08-2024
O00256,C0743,P0051,6,9020,54120,22-10-2025
O00257,C0735,P0032,7,4620,32340,13-07-2024
O00259,C1223,P0011,1,5564,5564,06-09-2024
O00261,C1136,P0107,10,3638,36380,12-04-2026
O00262,C0478,P0169,3,9864,29592,03-01-2024
O00263,C0568,P0075,3,8950,26850,13-09-2024
O00264,C0358,P0057,1,2259,2259,16-01-2024
O00265,C0734,P0122,10,5404,54040,17-01-2024
O00267,C0863,P0270,2,1141,2282,02-05-2025
O00268,C0919,P0186,9,9826,88434,21-04-2024
O00269,C0926,P0258,4,810,3240,14-01-2026
O00270,C1068,P0155,8,610,4880,03-03-2024
O00271,C0981,P0206,7,1868,13076,17-05-2025
O00272,C0909,P0038,2,5377,10754,14-09-2025
O00273,C0304,P0034,3,4605,13815,01-10-2025
O00276,C1240,P0221,2,1974,3948,23-05-2026
O00277,C1130,P0111,7,7498,52486,21-08-2024
O00279,C0195,P0161,7,5220,36540,12-11-2025
O00280,C0523,P0192,3,7870,23610,09-03-2024
O00281,C0187,P0044,2,7175,14350,08-04-2024
O00282,C0764,P0067,9,1082,9738,23-08-2025
O00284,C0725,P0217,1,4812,4812,06-09-2025
O00285,C0640,P0181,2,9568,19136,03-06-2025
O00286,C0436,P0080,8,3774,30192,17-05-2026
O00287,C0222,P0180,9,6122,55098,27-04-2024
O00291,C0013,P0093,3,9378,28134,04-11-2025
O00292,C0821,P0036,3,602,1806,03-04-2024
O00293,C1087,P0111,7,6978,48846,09-04-2025
O00294,C0699,P0081,6,5205,31230,08-01-2026
O00296,C0319,P0081,10,915,9150,21-11-2025
O00298,C1244,P0227,7,4575,32025,08-08-2024
O00300,C0581,P0250,9,5153,46377,16-02-2024
O00302,C0419,P0155,4,2348,9392,21-02-2026
O00303,C0524,P0149,6,2065,12390,08-01-2024
O00304,C1019,P0221,3,2216,6648,24-01-2025
O00305,C1091,P0118,9,9254,83286,03-05-2026
O00306,C0726,P0037,7,793,5551,22-03-2025
O00307,C0039,P0236,2,5229,10458,12-08-2025
O00309,C0236,P0208,1,5421,5421,24-06-2024
O00310,C1266,P0236,6,1543,9258,23-03-2025
O00311,C0217,P0125,7,9748,68236,14-02-2025
O00312,C1074,P0041,7,5183,36281,02-02-2026
O00313,C0696,P0114,6,2854,17124,19-03-2024
O00315,C0716,P0180,3,3971,11913,15-04-2024
O00320,C0140,P0241,8,5061,40488,26-03-2026
O00321,C0563,P0029,6,8412,50472,16-03-2024
O00322,C0636,P0237,8,716,5728,28-02-2024
O00323,C0756,P0147,2,1579,3158,21-09-2025
O00324,C1217,P0260,7,7681,53767,17-08-2025
O00325,C1136,P0022,8,9466,75728,29-10-2025
O00326,C0386,P0165,10,7892,78920,28-05-2025
O00327,C0309,P0032,8,1795,14360,10-04-2026
O00328,C0704,P0044,9,2927,26343,10-02-2024
O00329,C0508,P0225,8,8686,69488,19-06-2025
O00330,C1249,P0082,6,6208,37248,16-10-2024
O00331,C0794,P0210,6,9895,59370,23-02-2024
O00333,C1143,P0198,5,4228,21140,11-01-2026
O00334,C1235,P0077,6,1435,8610,19-08-2025
O00335,C0290,P0180,5,6521,32605,12-05-2024
O00336,C1219,P0044,5,9257,46285,20-01-2025
O00337,C0673,P0066,9,1631,14679,23-10-2025
O00339,C0633,P0093,4,5698,22792,23-02-2026
O00340,C0996,P0099,4,2353,9412,07-06-2024
O00342,C1106,P0270,1,5617,5617,16-06-2026
O00344,C0333,P0093,10,2812,28120,08-01-2026
O00345,C0897,P0023,7,6068,42476,23-11-2025
O00346,C0487,P0228,10,4768,47680,09-02-2026
O00347,C0920,P0120,9,4018,36162,12-11-2024
O00348,C0961,P0100,6,9445,56670,27-03-2025
O00349,C0946,P0145,7,8339,58373,24-06-2025
O00350,C0858,P0083,4,2367,9468,12-06-2026
O00351,C0513,P0027,8,6181,49448,21-07-2025
O00352,C0211,P0265,2,4770,9540,26-03-2024
O00357,C0460,P0015,6,1723,10338,09-05-2026
O00358,C0687,P0075,3,727,2181,20-10-2024
O00359,C0968,P0072,8,7449,59592,22-09-2025
O00360,C0011,P0041,1,4293,4293,08-08-2024
O00362,C0228,P0148,4,5034,20136,04-05-2024
O00363,C0098,P0123,7,7589,53123,05-03-2024
O00364,C0228,P0256,10,8882,88820,17-01-2024
O00366,C0295,P0150,7,125,875,21-09-2025
O00367,C0723,P0124,10,6925,69250,10-07-2024
O00368,C0176,P0269,6,1208,7248,22-06-2025
O00369,C1115,P0260,9,9179,82611,21-01-2024
O00370,C0800,P0241,1,6438,6438,17-01-2025
O00371,C0520,P0009,6,1206,7236,19-12-2024
O00372,C0494,P0054,10,5547,55470,16-05-2024
O00373,C0091,P0181,9,5646,50814,13-04-2026
O00374,C0359,P0238,8,3086,24688,10-04-2026
O00375,C0277,P0033,8,705,5640,27-10-2024
O00376,C0413,P0023,4,786,3144,19-11-2024
O00377,C0636,P0264,7,8997,62979,29-04-2025
O00378,C0519,P0019,4,4787,19148,31-12-2024
O00379,C0098,P0170,5,2139,10695,29-03-2026
O00381,C0695,P0096,8,8251,66008,11-01-2025
O00382,C1064,P0137,2,7055,14110,21-03-2024
O00383,C0882,P0093,9,4913,44217,24-11-2024
O00384,C0211,P0041,6,4943,29658,09-11-2024
O00385,C0914,P0219,3,7372,22116,25-12-2024
O00386,C0916,P0022,6,7226,43356,08-10-2024
O00388,C0328,P0016,3,7279,21837,05-02-2024
O00389,C0259,P0035,4,6101,24404,05-01-2025
O00391,C0922,P0190,6,7373,44238,20-02-2026
O00393,C0816,P0161,5,4189,20945,26-04-2024
O00394,C0054,P0096,8,8582,68656,31-01-2025
O00395,C1151,P0061,5,4364,21820,21-12-2025
O00396,C0914,P0110,10,4778,47780,11-12-2025
O00398,C0152,P0232,3,7392,22176,30-03-2024
O00399,C0655,P0178,2,9111,18222,09-07-2025
O00400,C0595,P0154,3,2952,8856,23-03-2026
O00401,C0741,P0261,4,2088,8352,24-07-2024
O00402,C0285,P0122,8,530,4240,04-01-2025
O00404,C1130,P0067,10,1512,15120,08-03-2024
O00407,C0152,P0231,8,8576,68608,18-12-2024
O00409,C0265,P0222,9,1007,9063,01-05-2026
O00410,C0255,P0266,3,5082,15246,17-06-2024
O00411,C0332,P0166,4,5769,23076,15-06-2025
O00412,C0582,P0041,5,3316,16580,12-10-2025
O00413,C1129,P0141,3,5061,15183,21-09-2025
O00414,C1093,P0048,9,2862,25758,29-08-2025
O00415,C1190,P0079,3,5631,16893,12-05-2026
O00416,C1155,P0022,1,1430,1430,16-02-2024
O00418,C1266,P0016,8,9038,72304,23-10-2024
O00419,C0619,P0248,4,6753,27012,31-10-2024
O00420,C0929,P0038,1,2689,2689,26-03-2025
O00421,C0852,P0248,8,3442,27536,14-12-2024
O00422,C1243,P0074,6,5331,31986,21-01-2026
O00423,C0708,P0205,3,6170,18510,11-06-2025
O00424,C1151,P0055,6,4060,24360,22-04-2025
O00425,C0251,P0137,8,4161,33288,24-05-2024
O00426,C0199,P0026,5,6393,31965,03-06-2026
O00427,C1261,P0215,4,2716,10864,13-04-2026
O00429,C0327,P0256,9,7748,69732,25-05-2025
O00430,C0632,P0255,1,1575,1575,06-02-2025
O00431,C1036,P0235,4,3624,14496,20-08-2025
O00432,C0723,P0025,1,4709,4709,21-05-2025
O00433,C1224,P0241,5,8893,44465,09-01-2024
O00434,C0221,P0221,3,4433,13299,14-01-2026
O00435,C0750,P0207,6,841,5046,14-02-2025
O00437,C1134,P0148,2,6429,12858,31-05-2025
O00439,C0199,P0202,6,5655,33930,25-07-2025
O00440,C0749,P0074,4,9970,39880,05-06-2025
O00442,C0281,P0171,8,8608,68864,12-04-2025
O00443,C0306,P0264,3,5473,16419,19-09-2025
O00444,C0653,P0084,7,5002,35014,30-08-2025
O00445,C0689,P0260,9,8821,79389,16-05-2025
O00446,C1153,P0154,8,372,2976,12-01-2025
O00447,C0679,P0057,7,9663,67641,11-11-2024
O00450,C0984,P0088,9,6329,56961,31-05-2024
O00451,C0497,P0017,10,1900,19000,14-07-2024
O00453,C0846,P0105,7,8321,58247,04-03-2026
O00454,C1253,P0242,1,2362,2362,15-06-2025
O00456,C0772,P0161,3,7631,22893,29-06-2025
O00457,C0702,P0280,6,4431,26586,16-09-2025
O00458,C0992,P0099,4,4671,18684,25-07-2025
O00460,C0425,P0251,6,7961,47766,23-12-2024
O00462,C1113,P0195,7,5754,40278,02-03-2026
O00463,C0300,P0149,1,4812,4812,01-01-2026
O00464,C0162,P0178,8,4301,34408,04-02-2026
O00465,C0982,P0110,4,8924,35696,04-10-2024
O00467,C1202,P0123,4,931,3724,16-11-2025
O00469,C0847,P0170,8,1747,13976,28-11-2025
O00470,C0282,P0003,9,2687,24183,20-02-2025
O00471,C0975,P0245,4,4806,19224,24-11-2024
O00472,C0585,P0031,2,9506,19012,25-08-2024
O00474,C0361,P0019,7,8216,57512,09-07-2024
O00475,C0593,P0020,1,4988,4988,04-08-2025
O00476,C1235,P0055,6,4762,28572,10-04-2025
O00477,C1113,P0269,8,2298,18384,21-05-2026
O00479,C0231,P0170,3,7618,22854,25-10-2025
O00480,C0527,P0096,1,5623,5623,20-03-2026
O00482,C0831,P0219,9,5472,49248,29-03-2024
O00483,C0821,P0049,3,2403,7209,03-05-2025
O00484,C0663,P0128,1,4372,4372,27-01-2025
O00485,C0483,P0229,5,5500,27500,05-11-2024
O00487,C0737,P0121,1,2036,2036,21-04-2025
O00488,C0629,P0082,7,8333,58331,21-12-2025
O00489,C0637,P0061,5,6121,30605,21-09-2025
O00490,C0453,P0113,3,7934,23802,05-06-2024
O00491,C0932,P0192,7,9098,63686,27-04-2025
O00492,C1101,P0112,4,9861,39444,13-06-2026
O00493,C0168,P0270,8,8753,70024,21-12-2025
O00494,C0741,P0040,10,1938,19380,04-03-2024
O00495,C1122,P0259,4,9483,37932,03-07-2025
O00497,C0239,P0106,10,8108,81080,03-04-2024
O00498,C1046,P0229,1,7529,7529,15-05-2024
O00500,C1145,P0237,5,456,2280,09-02-2025
O00501,C0522,P0002,4,9575,38300,15-03-2024
O00502,C0093,P0217,6,1144,6864,08-07-2025
O00503,C0124,P0036,8,619,4952,20-10-2024
O00504,C0838,P0093,3,6987,20961,18-01-2025
O00505,C0784,P0230,7,6254,43778,23-03-2024
O00506,C1105,P0069,6,2043,12258,01-07-2024
O00507,C1101,P0202,9,2186,19674,15-01-2026
O00508,C0457,P0002,1,4988,4988,19-04-2025
O00509,C1116,P0218,9,6314,56826,23-04-2026
O00510,C0471,P0127,8,5771,46168,07-06-2024
O00511,C0565,P0097,2,627,1254,08-04-2026
O00512,C0859,P0009,4,3476,13904,09-03-2024
O00514,C0100,P0126,1,6690,6690,25-03-2025
O00516,C1032,P0149,4,9538,38152,22-11-2024
O00517,C1183,P0165,4,5044,20176,16-06-2026
O00518,C0294,P0267,4,6875,27500,03-11-2024
O00519,C0564,P0032,9,9793,88137,19-06-2026
O00520,C0359,P0219,9,8220,73980,18-02-2024
O00521,C0706,P0196,9,5322,47898,14-12-2025
O00522,C0853,P0210,3,5013,15039,20-01-2025
O00523,C0377,P0276,8,4048,32384,19-05-2026
O00524,C0462,P0154,3,7686,23058,29-02-2024
O00525,C1152,P0212,7,9230,64610,26-06-2025
O00526,C0275,P0199,4,4277,17108,27-07-2024
O00527,C0677,P0041,8,6179,49432,04-04-2024
O00528,C1097,P0098,1,4498,4498,21-01-2025
O00531,C0682,P0156,1,3570,3570,13-07-2024
O00532,C0241,P0246,4,3450,13800,10-02-2025
O00534,C0955,P0274,6,5153,30918,24-09-2024
O00535,C0737,P0263,8,7735,61880,10-04-2024
O00536,C0962,P0164,4,6173,24692,16-11-2024
O00537,C0848,P0024,10,3725,37250,29-01-2026
O00538,C0299,P0009,5,9165,45825,21-08-2025
O00539,C1187,P0214,5,2597,12985,19-07-2024
O00540,C0676,P0118,7,9435,66045,03-05-2026
O00541,C0504,P0256,9,5630,50670,20-09-2024
O00542,C1001,P0252,8,2856,22848,20-01-2026
O00543,C0722,P0087,3,9054,27162,15-05-2025
O00544,C0377,P0278,1,8684,8684,04-02-2024
O00545,C0153,P0025,1,6856,6856,20-05-2024
O00547,C0448,P0259,8,6214,49712,02-03-2024
O00548,C1266,P0248,8,357,2856,07-01-2024
O00550,C1085,P0141,9,4797,43173,18-01-2024
O00551,C1029,P0221,3,1853,5559,08-04-2024
O00552,C1074,P0077,4,3244,12976,26-09-2025
O00553,C1079,P0130,6,4479,26874,25-03-2026
O00554,C0813,P0041,6,6752,40512,15-04-2025
O00555,C1158,P0125,4,5014,20056,01-12-2025
O00556,C0166,P0017,2,6740,13480,23-01-2025
O00558,C0020,P0088,2,8289,16578,15-05-2026
O00559,C0889,P0170,10,1662,16620,24-06-2025
O00560,C0088,P0118,4,9386,37544,01-05-2025
O00561,C0556,P0024,2,4693,9386,10-07-2025
O00562,C1155,P0017,3,5252,15756,17-01-2024
O00563,C0425,P0074,7,1360,9520,02-11-2024
O00566,C0287,P0041,9,5766,51894,24-02-2024
O00567,C0201,P0224,4,1345,5380,14-12-2024
O00569,C0560,P0231,8,3837,30696,30-12-2024
O00570,C1133,P0193,7,3143,22001,27-11-2025
O00571,C1200,P0195,2,4939,9878,28-03-2026
O00573,C0779,P0079,7,5288,37016,04-01-2025
O00575,C0738,P0139,2,2270,4540,30-03-2024
O00576,C0384,P0221,8,9225,73800,22-07-2025
O00577,C1050,P0209,2,530,1060,01-04-2024
O00579,C0665,P0198,1,4881,4881,27-02-2025
O00580,C0795,P0044,9,4077,36693,08-08-2025
O00581,C1068,P0087,7,2877,20139,22-05-2024
O00582,C0551,P0155,5,8179,40895,29-05-2024
O00583,C0130,P0086,7,4621,32347,07-03-2025
O00584,C0614,P0248,2,6016,12032,14-09-2024
O00585,C0506,P0254,10,3303,33030,13-04-2025
O00586,C0220,P0070,5,210,1050,09-02-2025
O00587,C0681,P0195,6,7312,43872,08-12-2024
O00588,C0882,P0070,5,5353,26765,09-09-2025
O00589,C0412,P0246,6,3010,18060,11-02-2025
O00590,C0654,P0150,8,9535,76280,11-03-2026
O00591,C0497,P0167,7,4692,32844,16-04-2026
O00593,C1213,P0280,3,9112,27336,28-01-2024
O00594,C0946,P0108,8,4873,38984,01-05-2026
O00595,C0142,P0210,8,2380,19040,10-10-2025
O00596,C0621,P0124,5,2625,13125,02-01-2026
O00597,C0867,P0194,2,7457,14914,04-09-2025
O00599,C0857,P0279,1,5990,5990,19-12-2025
O00600,C1100,P0044,2,4167,8334,04-11-2025
O00601,C0728,P0086,10,825,8250,30-07-2025
O00602,C0819,P0170,7,1835,12845,11-01-2024
O00603,C0202,P0133,4,8466,33864,03-02-2026
O00605,C0913,P0192,7,7686,53802,01-03-2026
O00607,C0989,P0054,5,6915,34575,28-03-2024
O00609,C0933,P0106,9,8012,72108,22-12-2024
O00611,C0138,P0154,1,1985,1985,24-01-2024
O00612,C0703,P0056,3,4096,12288,12-06-2025
O00614,C0874,P0237,4,6736,26944,06-10-2025
O00615,C0378,P0096,7,6581,46067,30-01-2024
O00616,C1258,P0102,8,9802,78416,15-03-2025
O00617,C0797,P0003,4,3471,13884,12-10-2024
O00619,C0750,P0167,4,7596,30384,26-04-2024
O00620,C0538,P0251,9,5234,47106,03-09-2025
O00621,C0796,P0201,10,1971,19710,22-12-2024
O00622,C0721,P0235,10,2926,29260,13-04-2026
O00623,C0610,P0044,3,5231,15693,30-04-2024
O00624,C0489,P0157,2,3099,6198,17-01-2025
O00625,C0290,P0262,7,6952,48664,02-09-2025
O00627,C0997,P0276,3,9191,27573,19-06-2024
O00628,C1003,P0148,3,3165,9495,18-11-2024
O00629,C0924,P0028,6,257,1542,11-05-2025
O00630,C0280,P0100,7,9300,65100,01-06-2025
O00631,C1014,P0210,8,6909,55272,28-12-2025
O00632,C0910,P0251,3,1454,4362,01-08-2025
O00633,C0064,P0113,5,635,3175,08-10-2024
O00634,C0461,P0276,5,2855,14275,10-03-2026
O00638,C0904,P0280,4,7065,28260,14-04-2024
O00639,C0507,P0153,1,7468,7468,26-09-2024
O00640,C0714,P0045,8,2023,16184,05-03-2026
O00641,C0486,P0108,10,5844,58440,31-05-2026
O00642,C1250,P0220,3,2381,7143,14-03-2026
O00643,C0424,P0106,1,9440,9440,25-12-2024
O00644,C1091,P0144,10,8927,89270,21-06-2024
O00645,C0663,P0150,5,9483,47415,30-09-2024
O00646,C1054,P0049,3,6843,20529,01-03-2024
O00647,C0568,P0065,3,4190,12570,29-05-2024
O00648,C0660,P0127,7,8119,56833,25-05-2024
O00649,C1183,P0138,7,6246,43722,07-04-2025
O00650,C0155,P0048,7,8547,59829,06-02-2026
O00651,C0570,P0189,8,8096,64768,01-12-2024
O00652,C1192,P0002,2,7611,15222,12-10-2025
O00653,C0734,P0033,9,6616,59544,11-08-2024
O00654,C0880,P0109,8,4499,35992,26-11-2024
O00655,C0581,P0173,9,9568,86112,13-05-2024
O00656,C1160,P0249,6,893,5358,17-02-2024
O00657,C0204,P0236,1,2135,2135,28-05-2026
O00660,C0562,P0048,6,4202,25212,25-03-2024
O00662,C0626,P0120,7,1594,11158,21-12-2025
O00663,C0195,P0001,4,7912,31648,20-03-2024
O00665,C0017,P0176,2,7019,14038,11-12-2025
O00666,C0271,P0245,2,3851,7702,27-01-2025
O00667,C0183,P0053,2,5233,10466,11-01-2025
O00669,C0293,P0036,9,9328,83952,09-01-2024
O00671,C0437,P0078,7,7348,51436,30-05-2026
O00672,C0445,P0045,2,2393,4786,09-02-2026
O00673,C0253,P0197,6,7135,42810,18-11-2024
O00674,C0287,P0127,5,1480,7400,11-09-2024
O00675,C1134,P0146,1,5042,5042,29-07-2024
